genotype	plant	Epoxydolabradiene	Benzoxazinoids	Trihydroxydolabrene
AN2	1	78062364.55	160894.8779	209003088.1
AN2	2	50464575.34	108238.157	111208282.6
AN2	3	82646775.97	349559.0425	213049169.4
AN2	4	61804634.45	309811.6262	108162247.3
AN2	5	55271393.18	185796.7205	127791147.3
WT	6	76332409.87	494052.1338	251157527
WT	7	154163783.2	171373.4014	375502632.5
WT	8	128025393.6	190217.9414	360059701.7
WT	9	163550382.7	383346.0518	445747268.6
WT	10	129549726.3	327366.2612	393094055
