ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	36_AN2_D	33_AN2_ND	2_WT_ND	35_WT_D	27_AN2_ND	26_WT_ND	18_AN2_D	6_AN2_D	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
10355	331.0816513	3.35353627	0.00	360843.81	1005053.06	1827026.75	1073597.63	1856275.13	449641.59	2445015.00	15129266.00	20629572.00	1909406.13	8165902.00	7203360.50	16122827.00	7674399.00	7541909.50	8810830.00
10357	320.1973384	3.279316806	0.00	360500.28	54661.23	137151.70	401543.13	199647.44	260117.52	711327.25	246337.06	255243.63	502371.97	464411.00	332942.00	444379.88	477983.97	710879.44	732973.25
10358	617.5142185	9.167346838	18284.60	360107.00	343105.97	255550.56	733408.31	700809.69	332610.28	441832.53	493522.88	695526.81	611489.88	539013.50	825978.38	1002201.00	1057511.00	698438.31	1063706.50
10363	395.3682115	7.221668226	0.00	350345.47	249650.84	376976.09	595152.31	927847.94	685107.56	638256.25	691599.19	856460.25	1063866.25	787693.13	981400.56	946030.50	1369356.75	1190665.50	973784.25
10364	250.1187753	0.741451563	0.00	349726.03	304070.72	248971.42	410587.50	91614.34	1189688.88	855251.88	1161892.38	1800735.38	824504.81	1309625.00	412298.97	944375.88	1953089.13	3313183.50	1154048.38
10366	363.2155514	5.206083127	0.00	346536.16	580065.94	559610.31	924043.50	23302.37	667339.69	225139.55	233145.48	510326.34	1132512.38	150867.53	119706.74	72403.84	307489.72	369660.22	305891.44
10367	256.1482709	3.012798456	31148.26	346485.72	100858.04	26757.21	258635.81	0.00	206211.53	341036.41	148195.08	689161.75	858028.38	332375.06	625798.00	126720.13	0.00	264905.81	297711.50
10368	309.2427503	5.281894267	0.00	345922.91	94268.96	128143.42	273821.09	49204.14	436881.31	557148.00	307384.63	122730.83	353560.53	169005.88	371022.56	95573.00	530160.38	403329.34	195236.14
10371	621.2156766	2.836374	0.00	341631.19	579177.56	705725.69	1419649.00	1172593.63	432158.25	1043521.69	1040379.13	832048.44	487955.72	947681.88	436060.16	378757.00	447007.84	804618.75	96523.48
10373	196.0969487	2.261201776	8511.38	336935.56	377161.88	238631.59	402990.25	263558.19	568359.81	589128.00	298587.59	577678.38	588306.88	602681.69	915456.81	528427.81	751160.31	844127.31	1448859.75
