ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	33_AN2_ND	2_WT_ND	36_AN2_D	26_WT_ND	35_WT_D	6_AN2_D	18_AN2_D	27_AN2_ND	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
5912	523.1612604	5.30112285	0.00	23135.00	11132.54	16960.21	72395.62	37641.96	35126.87	24133.14	95349.51	36074.03	0.00	23633.87	12538.50	5125.85	25819.01	18093.13	15009.18
5913	558.1247652	3.613362983	0.00	23756.53	52539.80	137206.92	72192.37	156688.08	113356.09	346340.13	93446.08	198215.78	132612.05	165381.59	222736.38	183758.70	253991.58	250823.73	49914.20
5924	773.2278959	3.199672808	1772.50	0.00	367539.63	324892.78	69552.60	215152.25	151998.80	236709.17	245502.34	313541.28	327766.41	407751.44	1005129.31	604209.69	1007338.56	771596.81	495623.00
5932	566.1531993	3.935002722	0.00	15515.15	42299.27	107130.68	63142.29	176876.94	87446.09	593185.06	94378.52	108279.22	90164.52	101245.94	109933.86	85676.95	346819.47	279492.31	101677.02
5933	741.2574956	2.90143059	0.00	15118.98	5890.84	8922.52	63073.27	20606.56	222258.36	598084.69	76025.93	806780.81	191304.30	520076.38	351805.47	503480.31	306647.19	558358.13	1044353.06
5934	333.1343669	3.727826416	1921.22	7183.51	218751.08	136158.61	62402.32	390011.34	41313.91	16479.60	1281976.38	159991.81	201482.94	206483.38	296845.53	372166.75	445265.03	724361.56	728239.31
5939	702.1914506	2.305800096	0.00	3922.46	24783.50	46100.36	60324.61	226173.89	331679.75	59395.37	515079.38	655187.50	346652.63	465262.16	1580962.75	86387.29	198348.61	1176333.13	205385.23
5940	454.1963635	7.57519224	0.00	249286.09	65753.23	124323.33	59782.31	184039.98	125575.57	14106.59	143969.81	192396.98	115370.24	81565.74	37952.22	39612.69	536957.19	174546.17	76245.43
5941	959.5972933	10.25862653	0.00	27506.95	20960.53	20189.65	58536.77	0.00	46211.49	73422.60	56267.55	58656.45	75970.53	68171.73	112622.40	76888.26	89998.89	67151.66	134605.86
5943	888.6796443	9.184736232	0.00	21318.33	9887.52	10316.32	57575.15	21027.80	41940.64	20963.73	24221.83	11769.38	55537.35	28162.42	27553.51	27178.66	36906.51	23928.26	34686.94
5947	509.1494672	3.67755324	0.00	29244.62	46784.00	109570.76	57075.62	149644.53	1120298.00	1305535.88	1011177.63	1097746.00	451213.00	872809.19	1851440.75	639514.38	1182968.50	3054141.00	470611.47
5948	827.5933063	8.957302494	0.00	23231.69	24313.72	23449.08	56998.28	9824.81	40036.72	9812.27	26011.35	23965.35	56259.61	8529.49	25917.57	20417.78	19039.63	20237.71	9691.90
5957	395.1545627	4.200980632	0.00	6195.92	67472.15	25058.24	51981.00	516494.75	74867.58	34724.76	1506296.13	46478.72	801586.88	92752.23	671506.69	564329.75	2917565.50	982039.63	970463.25
5963	379.1580635	9.779452438	37844.88	0.00	5461.82	3612.19	50641.79	6565.38	37560.55	3463.14	14697.57	7447.89	50144.38	6238.15	17695.52	4996.44	66127.45	5519.63	23527.52
5968	564.1970691	4.319922575	0.00	38573.23	26643.60	65972.46	49243.89	34127.41	211037.09	235062.78	139897.42	259588.05	177764.77	208625.53	165767.59	315403.00	129012.73	232869.64	231199.66
5975	832.6170886	8.833051276	0.00	20823.60	8137.26	0.00	48060.88	11785.44	43735.25	8473.76	18750.50	12362.79	53657.14	30016.75	17982.47	30078.66	32154.43	29260.08	42302.44
5976	759.2350346	4.011696544	0.00	22669.97	39017.88	80192.04	47565.30	91960.49	112013.87	247477.52	74907.08	196675.19	109385.05	123052.17	149491.69	109412.85	121281.67	187977.63	88092.18
5982	351.127374	4.32764295	0.00	4221.89	20248.80	7999.96	46777.49	146747.50	22270.39	13777.21	225103.05	7470.40	537788.44	55036.74	330013.69	321958.59	646275.25	385344.63	585398.25
5984	611.1631104	3.404019144	0.00	0.00	53932.46	81489.38	46433.81	42303.41	50571.93	88447.55	35896.38	356554.59	158604.20	207446.39	399982.72	334645.50	94060.00	153119.17	70892.16
5985	643.2267399	2.494831197	1975.58	9367.09	95230.83	87732.83	45967.88	139326.69	146390.55	104250.66	175445.33	131107.39	110149.06	178790.75	335994.00	209556.92	288367.97	364400.13	262071.53
5990	733.365142	8.186124947	0.00	9864.45	16885.85	12595.02	45309.73	38246.99	47668.64	10240.82	36010.42	19045.66	96069.26	54615.73	101411.63	10720.28	96429.24	37453.43	108207.14
5991	428.1228096	2.245116283	0.00	5592.29	88100.09	156445.41	45205.09	42011.59	42815.93	57402.37	45462.21	100807.40	57542.80	61822.55	64806.92	67925.51	52670.39	134873.38	83577.69
5992	905.6770987	9.746792929	0.00	11830.75	6905.69	0.00	44946.70	19982.97	46680.85	20532.80	30312.48	41862.54	90536.41	37349.38	41199.74	38387.17	56417.86	29013.90	95470.85
5995	775.255412	3.589666816	0.00	3527.24	0.00	5768.29	44188.49	19418.03	27476.45	193839.00	0.00	32167.93	72198.77	88172.37	34524.79	123149.13	49229.36	20123.60	18773.46
5998	713.2078951	5.43456865	0.00	27273.97	10205.52	7697.07	43654.59	0.00	30099.89	41900.07	41444.04	49167.80	59892.79	57838.00	50540.09	69691.49	33714.02	42279.20	28555.24
5999	433.2087093	4.0714958	0.00	45295.04	0.00	0.00	43649.98	538085.25	88361.13	0.00	180223.97	10115.45	31348.94	22226.79	10763.92	33526.14	56963.25	36803.20	91436.10
6000	476.2799201	10.47601596	4448.82	30014.98	23173.72	25822.40	43648.65	83533.97	125125.77	16557.12	43054.54	13276.82	80504.27	52943.48	36907.33	43101.22	107424.95	39243.66	134830.55
6002	573.2914066	6.702708856	4614.32	102279.46	25559.10	43534.88	43524.88	255210.14	919688.63	48181.63	160705.58	112235.75	174994.34	142348.41	53385.13	86496.39	401994.28	86863.55	89612.05
6017	343.0832886	3.809634517	0.00	8714.62	89116.72	28317.25	41046.59	359561.13	58208.62	99869.40	161865.72	54251.05	363612.31	223129.80	416024.03	520872.09	662355.56	210692.55	524657.75
6035	595.18111	2.362504635	0.00	6053.51	42534.13	36032.38	38326.85	70392.26	88998.07	0.00	39872.68	69042.16	56776.79	276488.72	130632.81	339254.84	113200.13	144361.13	100123.21
6039	444.1404012	3.980202316	0.00	66377.13	7445.34	12281.64	37698.50	0.00	100205.09	67769.49	38240.50	47948.70	29454.79	52256.15	23831.80	81331.70	16742.56	42300.90	59052.09
6064	433.1168564	4.456255243	0.00	4646.71	34353.86	33460.89	34342.33	25712.58	65771.63	109047.15	57223.06	95604.02	88669.23	87202.34	76523.66	137578.41	126238.23	110770.63	116283.43
6070	401.1827128	2.727715828	0.00	18830.27	73224.36	42523.91	33823.28	68935.55	73380.70	36505.47	278449.56	80150.49	71169.60	203133.64	173511.56	52817.92	43561.56	273731.56	103040.75
6074	789.2274677	4.324371119	3852.54	14814.32	88349.91	113079.32	33555.43	159230.53	158381.11	81507.66	142626.06	169296.34	986135.19	1400779.75	389336.81	1002717.38	645119.13	779461.81	2469699.00
6075	819.2381174	3.502415706	0.00	0.00	33087.41	40731.03	33494.87	108776.23	39397.31	68299.91	142755.95	178197.97	141309.28	109153.52	301587.00	289299.34	476257.41	234898.17	379286.53
6102	505.301108	10.17129732	0.00	44295.21	49189.67	18043.38	28355.72	27789.31	221544.02	11503.92	64147.66	35003.81	89421.47	49766.54	886258.81	78345.02	16333.42	41785.14	111157.45
6123	577.2677773	3.9345388	2186.74	0.00	48232.06	22389.14	25855.90	238873.09	0.00	0.00	71326.41	28288.17	148274.28	42070.73	859209.56	171775.89	2019662.38	1776047.13	937485.75
6128	653.1720193	3.355951922	0.00	17925.39	8704.52	14884.48	25200.80	8076.65	135542.50	96488.93	152596.58	213060.27	185422.98	116407.78	168303.41	223740.27	379365.41	275485.78	236405.28
6136	705.3356014	4.003015489	0.00	22265.71	17980.21	14452.44	24402.96	45906.63	38449.82	30570.22	40483.87	47379.63	56648.60	78362.88	115556.61	102479.48	144107.33	55708.64	115451.81
6145	537.1479255	0.763670328	0.00	0.00	0.00	9632.42	22550.92	113307.41	44889.06	34965.78	102614.11	393153.63	31398.14	126202.27	364414.75	29954.09	46990.24	207974.38	54385.96
6147	601.3244509	6.117403795	0.00	0.00	25142.49	25513.86	22220.33	87709.00	359196.59	0.00	86740.94	123933.91	231611.72	70952.33	92183.20	0.00	170877.66	27267.97	50758.55
6149	430.1003159	1.363049111	0.00	0.00	0.00	0.00	21725.31	0.00	0.00	0.00	46278.05	0.00	0.00	3177.03	0.00	2665.83	10763.46	104604.15	6441.68
6151	679.2200381	4.209787265	4302.47	14468.89	13212.36	16819.92	21694.93	19210.84	66383.91	95660.95	37618.82	74547.35	75237.59	198486.70	106491.79	97416.67	61260.68	130884.25	240623.45
6152	730.2168737	5.3018571	6167.76	163634.72	444565.94	309649.44	21601.63	420932.69	197379.59	2389446.50	380432.19	728010.19	336721.00	635209.56	660948.25	617146.00	532245.44	800470.13	877567.38
6155	905.6770771	9.877531706	0.00	9722.23	5485.62	0.00	21472.37	6342.14	41126.89	10829.59	17384.00	11133.92	77119.47	28836.48	23325.15	18743.94	52562.45	27905.26	43052.73
6159	729.243789	3.965531044	0.00	10663.52	7562.65	5956.57	21202.14	13751.38	32625.56	27492.27	13809.22	24676.22	25937.61	30393.63	53496.12	39622.23	26236.29	43483.61	59693.92
6183	398.1103077	0.770116238	0.00	0.00	19431.03	35596.94	18410.94	76167.13	49675.53	27601.07	38953.30	60852.74	21244.57	51545.09	138961.44	33229.79	21075.69	37103.15	50958.02
6212	171.1142722	0.846657813	0.00	123241.34	72255.48	129676.34	216145.16	76805.69	275254.72	48407172.00	16931122.00	179520.11	167220.73	86857.23	118265.80	164980480.00	22670392.00	22898672.00	108851336.00
6213	517.1577002	2.816151372	0.00	77187.48	235763.83	155980.41	88041.64	292648.84	113077.63	95223.19	126424.02	301732.75	346084.69	371153.09	638283.44	1012979.69	1237427.63	718380.63	1025688.06
6214	435.1520997	0.766227057	0.00	0.00	10462.29	28681.88	17097.79	107771.42	30388.92	2160219.00	12726962.00	83414.34	10848912.00	58302.59	58918.15	8018753.50	13331222.00	40542064.00	1399420.00
6215	563.1629413	2.847917863	0.00	39306.79	161399.16	125451.43	86247.29	252422.88	17164.71	83899.00	64413.81	225446.03	229301.22	229810.52	368120.25	398309.78	539754.75	307241.19	590051.94
6216	327.1807594	8.352979765	42806.13	9876.87	90029.48	13632.57	233653.41	13513.29	835097.38	12665.90	12923.02	343063.22	542073.50	9556.68	73459.61	323449.78	187644.09	13107.55	597225.88
6217	205.0508253	2.948310865	1764.92	540709.19	179550.63	4217714.50	222510.73	2037284.63	4273058.50	23521200.00	2682802.75	10796113.00	214619.83	7596025.00	321039.16	11528124.00	400772.94	274672.31	6512022.00
6218	531.3707042	8.374445783	0.00	96610.34	61949.44	39368.45	78795.64	61925.09	274709.66	158194.27	150393.61	92522.41	176207.36	84940.73	153126.31	131324.89	102937.13	70079.91	175625.70
6220	967.3414181	5.233849683	0.00	51117.68	132650.63	398084.16	249901.41	161569.52	283175.53	733545.13	228820.16	619734.06	254682.13	347959.84	473017.56	467190.38	481430.75	930127.94	727140.88
6221	194.9060745	7.876917288	2003775.13	2154993.75	2885303.00	2481564.25	2825123.75	2740009.50	470786.19	1339830.38	1846473.00	596988.75	5409103.00	1724052.00	1799207.75	4199020.50	3202197.75	1684004.13	4299243.50
6222	545.3865945	8.855071254	0.00	9786.51	26436.46	0.00	27208.03	0.00	49269.06	0.00	5059.93	0.00	50246.38	0.00	9626.23	0.00	0.00	0.00	5032.44
6223	207.0664834	4.148582053	15383.43	160523.63	131194.95	196902.14	138489.97	225378.70	404031.28	728378.13	254336.42	523797.63	298966.28	414105.88	567929.81	1170668.25	595247.13	594991.75	576264.13
6224	342.0841424	1.613896881	0.00	0.00	3390.18	2365.09	0.00	21976.28	41931.63	366294.09	13960668.00	85950.27	32189.84	9988.19	108977.41	497905.78	771876.38	25410370.00	1190811.88
6225	351.2215568	7.404018943	0.00	0.00	0.00	0.00	15025.27	8586.07	42902.13	0.00	0.00	9582.92	500425.78	0.00	0.00	15801.81	11859.73	0.00	281374.78
6226	755.2254946	3.808921744	3099.63	6487.62	10961.78	77707.59	28664.71	50525.27	100241.84	72380.47	12575.71	47999.12	70192.13	29634.46	69348.63	321331.91	105605.19	97661.16	209631.77
6227	597.3945485	8.405068084	0.00	313248.31	445827.53	378181.59	279963.72	531529.69	357870.78	641969.88	480535.97	398085.66	370278.34	153366.38	566392.94	521724.03	213384.70	159275.81	169200.56
6228	477.3467467	7.63940575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6229	423.2531847	10.37873755	0.00	763526.31	451544.41	419372.19	2893083.50	593944.25	1808273.38	192930.94	401770.19	418345.91	3700242.00	321898.75	396566.97	229618.69	948384.25	318011.03	627245.75
6230	595.2198048	4.405289062	0.00	10077.78	23132.53	29656.46	11528.34	79444.55	77809.86	72275.41	53265.82	67214.36	42532.58	15549.25	43208.24	41326.25	154749.52	89828.20	85652.25
6231	445.2376211	10.42807094	0.00	167237.69	1042632.25	227817.19	1738729.75	313724.44	1011772.94	37335.62	149463.05	369075.78	4559858.50	101627.35	405169.81	69304.77	277669.91	157441.33	194464.00
6232	580.1534523	2.810451506	0.00	288263.16	323114.00	288369.09	181703.41	273817.47	300497.81	258950.14	279560.38	484671.13	261913.70	534883.63	263405.56	415884.88	158914.38	238958.39	447777.44
6233	359.099244	2.684858848	1761.58	164769.95	480226.34	645694.06	373653.22	907292.94	917368.38	476225.88	475374.59	1147690.13	911051.13	1020422.88	1729971.50	1918809.13	3011251.75	3013067.50	758988.56
6237	519.3342806	7.911770744	0.00	0.00	9862.10	9564.39	0.00	18904.95	31090.19	69561.26	12193.48	12163.79	124241.80	39093.08	84357.48	94748.34	56753.64	41581.45	102647.72
6238	476.2795688	7.504806259	0.00	28756.31	39500.30	38867.15	148730.17	174999.81	219233.30	9354.76	81398.20	44377.79	506938.06	48462.67	63048.68	81226.92	236771.17	54074.99	325040.41
6239	160.9357358	7.869635115	1457693.63	2263050.25	1647601.38	1779417.50	1261435.63	1583111.13	1435964.25	1063673.38	1344331.25	1543195.88	1217868.25	1548832.50	1206475.50	1258972.63	1177276.25	1161942.38	1157773.13
6240	548.1432347	3.516677715	0.00	123316.06	275615.63	104967.05	322562.47	262230.41	1240330.38	125297.94	209153.97	596022.94	1106379.25	953458.19	1556306.88	1405452.25	2722168.25	1722601.88	4500423.00
6241	417.0855665	3.420893635	0.00	104807.12	0.00	14326.28	11335.42	0.00	67607.77	33064.41	202466.44	20856.84	33370.17	0.00	33881.85	22468.56	135436.45	18992.83	31698.13
6242	303.1202237	0.51366037	0.00	92696.05	122143.03	181218.92	351324.78	369889.78	360169.16	122536.65	848352.25	486450.13	459655.56	837610.00	304623.88	1349903.38	726344.13	494098.28	339954.25
